image,label
60544,1_00_0
13273,6_00_0
27233,3_b7_1
10199,3_b7_1
29915,3_00_0
65569,1_00_0
12796,6_00_0
31551,6_00_0
19598,6_00_0
43765,6_00_0
50804,3_00_0
12515,3_00_0
39194,3_a9_1
30484,4_00_0
16045,4_00_0
39869,3_b8_1
14568,3_00_0
66563,4_00_0
40700,5_b8_1
17127,2_a5_2
47808,4_00_0
59406,6_00_0
23495,3_00_0
46235,3_a9_2
50278,5_b7_1
55844,3_00_0
32181,6_b5_1
46127,3_00_0
57786,1_00_0
17326,3_00_0
58887,5_a7_2
50798,5_b8_1
13679,6_a12_2
44848,4_00_0
41398,5_b7_1
37971,5_b8_1
46663,4_00_0
23582,6_00_0
30546,3_00_0
57185,5_b6_1
22026,1_00_0
23005,1_00_0
56572,5_b8_1
61402,6_a12_2
34432,6_00_0
18787,4_00_0
34088,4_00_0
57806,6_00_0
34890,3_b3_1
66178,3_00_0
23073,4_00_0
66182,6_00_0
60759,3_00_0
51133,4_00_0
17017,3_00_0
30685,5_00_0
61373,5_b6_1
46113,1_00_0
43113,1_00_0
64119,6_00_0
24957,3_b8_1
64838,5_b8_1
19290,4_00_0
11943,5_a7_2
38943,3_a9_2
62094,4_00_0
48208,4_00_0
60843,5_b8_1
44463,6_00_0
64684,3_00_0
38974,4_00_0
48725,1_00_0
22866,3_a9_1
61648,3_b3_1
52948,1_00_0
64247,1_00_0
58096,2_a5_2
43783,1_00_0
24229,3_00_0
25770,5_b7_1
62195,5_b8_1
58781,3_00_0
58551,3_a9_2
21886,1_00_0
13599,6_00_0
31663,1_00_0
35790,3_a9_2
31111,3_00_0
43917,6_00_0
57842,3_b8_1
66074,6_00_0
51630,4_00_0
67633,1_00_0
45781,3_00_0
39172,3_00_0
58342,4_00_0
12598,1_00_0
39765,3_00_0
15302,4_00_0
61943,6_00_0
48097,3_00_0
48595,2_00_0
19255,1_00_0
28304,3_b7_1
51738,3_00_0
22576,4_00_0
67348,6_b4_1
52562,3_00_0
17839,3_00_0
47665,3_00_0
61279,3_b7_1
59671,1_00_0
