image,label
59635,5_b8_1
41553,3_00_0
24957,3_b8_1
48209,2_a5_2
67328,6_00_0
31982,3_00_0
51634,3_00_0
34147,3_00_0
17534,4_00_0
13816,5_b7_1
35478,5_b6_1
15716,6_a12_2
55351,4_00_0
37822,6_00_0
28123,3_b6_1
56426,6_00_0
67243,3_00_0
33426,6_00_0
56537,2_a5_2
59310,3_a9_1
25910,6_00_0
43173,3_00_0
50252,6_00_0
62741,4_00_0
66393,6_b5_1
46819,3_00_0
58537,3_a9_2
20767,3_b8_1
11977,1_00_0
59217,6_00_0
63376,3_00_0
41458,1_00_0
34068,3_00_0
39412,4_00_0
58025,6_00_0
17261,4_00_0
30631,3_b7_1
40983,6_00_0
43823,5_b8_1
56219,3_b7_1
19580,1_00_0
22598,1_00_0
33689,6_00_0
19371,6_00_0
26501,4_00_0
59653,6_a11_2
28718,6_00_0
23898,4_00_0
65359,4_00_0
36416,3_b7_1
48816,6_b5_1
47764,3_00_0
17017,3_00_0
39545,6_b4_3
13761,2_a5_2
58075,5_b8_1
62700,5_b6_1
18496,6_00_0
41293,3_00_0
39194,3_a9_1
60209,3_00_0
31264,3_b6_1
42330,6_00_0
50628,3_00_0
33378,3_b7_1
36525,3_b7_1
58053,3_00_0
51184,6_b4_1
28368,1_00_0
33366,1_00_0
17349,6_00_0
10523,3_00_0
64001,3_00_0
24046,4_00_0
56736,3_a9_3
48943,3_00_0
62206,4_00_0
39321,3_00_0
31551,6_00_0
54962,5_a7_2
67301,3_b7_1
66624,3_b7_1
39886,5_b6_1
49969,3_00_0
34025,6_00_0
21886,1_00_0
17006,5_a7_2
19527,3_00_0
55835,3_b7_1
29638,3_00_0
31444,1_00_0
20259,5_b6_1
49012,3_00_0
58418,3_b3_1
37784,6_00_0
34128,3_00_0
43767,5_b8_1
63895,4_00_0
18652,3_a9_1
42237,3_00_0
10224,1_00_0
11149,6_00_0
18171,6_00_0
28454,5_b6_1
59106,5_b7_1
16607,6_00_0
37413,3_00_0
24706,1_00_0
55543,3_00_0
53896,4_00_0
25489,1_00_0
55179,5_a7_2
18788,6_00_0
51810,5_b6_1
66723,5_b8_1
19546,6_00_0
60156,6_00_0
65281,3_00_0
51152,6_00_0
54204,2_a5_2
44725,1_00_0
34289,3_a9_1
15596,6_00_0
48895,3_00_0
44764,1_00_0
31314,3_b6_1
63347,4_00_0
27482,4_00_0
16845,3_00_0
63832,4_00_0
14994,6_00_0
37812,3_00_0
58382,2_00_0
41903,3_b3_1
30964,6_00_0
57228,5_b7_1
64101,1_00_0
47696,3_a9_1
40486,1_00_0
25040,5_a7_2
46806,3_00_0
10652,3_b7_1
12299,3_00_0
11664,1_00_0
50570,3_b8_1
11768,3_b8_1
58079,1_00_0
33328,5_b6_1
27686,2_a5_2
51738,3_00_0
29910,3_b7_1
13305,4_00_0
43025,1_00_0
61605,5_b6_1
56895,3_a9_2
27844,5_b6_1
53280,4_00_0
36049,6_00_0
29539,3_00_0
24177,3_b3_1
25980,4_00_0
37627,3_00_0
31756,1_00_0
45928,4_00_0
46504,3_b7_1
31785,3_a9_1
23582,6_00_0
38872,6_00_0
18146,3_00_0
27323,4_00_0
54714,1_00_0
15232,1_00_0
18525,3_b8_1
29927,3_00_0
63086,1_00_0
31628,6_00_0
51518,6_00_0
28331,4_00_0
65096,3_00_0
39066,2_a5_2
41127,1_00_0
31027,1_00_0
65203,6_00_0
