image,label
40372,1_00_0
66579,5_b8_1
40597,3_00_0
65312,3_b6_1
27978,3_00_0
56318,4_00_0
30472,4_00_0
63482,4_00_0
10505,3_a9_1
28331,4_00_0
30867,6_00_0
31502,6_00_0
62824,3_00_0
60478,3_a9_2
33733,6_00_0
39893,5_b8_1
19156,5_b8_1
13426,5_00_0
17968,3_a9_2
62864,3_b7_1
57665,4_00_0
17334,2_00_0
22576,4_00_0
32847,4_00_0
66348,3_b8_1
59715,3_b3_1
44425,6_b4_3
61571,1_00_0
20765,5_a7_2
46111,5_a7_2
64030,3_00_0
44970,3_00_0
39897,2_a5_2
66355,2_a5_2
48845,6_00_0
17579,2_00_0
25085,1_00_0
26209,1_00_0
61826,3_00_0
10523,3_00_0
50194,5_b7_1
61774,1_00_0
66834,4_00_0
22598,1_00_0
27998,6_00_0
16076,5_a7_2
15405,3_b3_1
20326,6_00_0
62125,3_00_0
32346,2_a5_2
66042,3_b7_1
62094,4_00_0
16435,2_00_0
52535,3_00_0
53755,3_00_0
54763,3_b7_1
66809,4_00_0
32839,1_00_0
52041,3_a9_1
25667,6_00_0
13986,3_00_0
19989,5_b8_1
10418,6_00_0
12834,1_00_0
57738,3_00_0
10847,1_00_0
52802,2_a5_2
50764,1_00_0
20405,2_a5_2
23426,3_a9_3
65119,5_a7_2
40411,6_00_0
57419,3_b7_1
15129,3_b7_1
66281,6_00_0
63191,3_00_0
62960,1_00_0
16845,3_00_0
16427,3_00_0
10525,3_00_0
44183,1_00_0
33871,1_00_0
11242,3_b8_1
21984,3_b6_1
19511,3_00_0
17842,3_00_0
19868,1_00_0
48285,3_00_0
30051,6_00_0
67263,2_00_0
19938,1_00_0
64453,6_00_0
31647,3_00_0
14796,5_b7_1
54941,5_b7_1
12045,3_00_0
59597,5_b6_1
64524,3_00_0
42916,3_b6_1
41857,4_00_0
66918,5_a7_2
20482,4_00_0
42213,2_00_0
30981,5_b8_1
57193,6_00_0
46855,3_b3_1
34025,6_00_0
67028,4_00_0
43528,4_00_0
43801,3_b8_1
41458,1_00_0
29656,1_00_0
43943,3_00_0
23538,4_00_0
41365,6_b5_1
37575,6_a11_2
44848,4_00_0
19403,1_00_0
20471,5_a7_2
24850,1_00_0
19939,3_00_0
49245,5_00_0
63718,4_00_0
18751,3_b8_1
41867,1_00_0
52318,2_00_0
49249,5_a7_2
35972,4_00_0
65537,1_00_0
56869,1_00_0
59845,1_00_0
17223,6_00_0
38882,3_b6_1
12504,3_b3_1
21011,1_00_0
13599,6_00_0
55309,2_00_0
34626,4_00_0
13993,1_00_0
17788,5_00_0
28120,1_00_0
53945,3_00_0
61373,5_b6_1
14163,3_00_0
32084,4_00_0
53442,6_00_0
13506,3_00_0
16568,4_00_0
31143,6_a12_2
62778,3_00_0
35838,2_00_0
16080,3_00_0
17188,3_00_0
47266,5_b8_1
28520,3_a9_2
60226,3_00_0
12698,6_00_0
56069,5_00_0
11785,1_00_0
60548,4_00_0
11482,3_00_0
57020,3_00_0
64535,6_00_0
43423,3_00_0
10950,1_00_0
42822,1_00_0
19519,3_b3_1
51332,6_00_0
44525,3_00_0
58599,1_00_0
11766,1_00_0
49705,3_b7_1
61781,5_b7_1
11990,6_00_0
22631,5_b7_1
17521,5_b6_1
39703,1_00_0
32785,5_00_0
59492,3_00_0
54804,4_00_0
39497,6_00_0
20120,3_b7_1
10880,5_b6_1
44091,4_00_0
22067,5_b6_1
56726,5_b7_1
53748,5_00_0
61205,1_00_0
50506,4_00_0
26760,2_a5_2
23467,1_00_0
57649,4_00_0
25640,3_a9_1
30369,5_a7_2
41293,3_00_0
49975,6_00_0
49813,1_00_0
37503,3_00_0
47319,6_00_0
47811,3_00_0
17332,1_00_0
22086,6_00_0
62040,6_b4_1
55547,6_00_0
17551,4_00_0
64567,3_b3_1
51846,3_00_0
19362,3_00_0
56482,3_00_0
67678,5_b6_1
10251,3_b8_1
42061,4_00_0
35517,3_b3_1
37378,1_00_0
43765,6_00_0
15702,5_b7_1
36326,3_00_0
64684,3_00_0
44484,1_00_0
37381,3_b6_1
51951,5_00_0
13364,4_00_0
17953,6_a11_1
43028,3_00_0
15909,1_00_0
24972,3_b7_1
48151,1_00_0
43993,5_a7_2
24931,6_00_0
61279,3_b7_1
30903,3_b7_1
39275,3_00_0
44837,3_a9_2
53512,3_00_0
40971,1_00_0
18321,3_b6_1
39366,6_b4_1
42775,4_00_0
17665,4_00_0
54714,1_00_0
31368,5_a7_2
19693,3_b3_1
61914,5_b8_1
66761,6_00_0
25685,4_00_0
25857,6_00_0
59179,3_a9_2
65941,1_00_0
21785,5_b8_1
55848,3_00_0
18273,5_b7_1
52989,3_00_0
27655,4_00_0
59374,4_00_0
10922,4_00_0
18941,5_b6_1
36160,5_b7_1
60378,3_a9_1
31264,3_b6_1
17737,1_00_0
66785,1_00_0
34763,3_00_0
11951,3_a9_1
17300,3_b8_1
51074,5_b7_1
39986,3_00_0
56391,3_00_0
12949,3_b3_1
59259,3_b3_1
51700,4_00_0
60900,4_00_0
50753,3_b3_1
38935,5_b6_1
50537,3_00_0
30546,3_00_0
60976,5_b7_1
62507,3_a9_1
48516,4_00_0
51813,1_00_0
46749,6_00_0
65287,3_00_0
47685,4_00_0
43723,6_00_0
23433,3_b8_1
53106,1_00_0
27831,3_00_0
45119,3_a9_1
26617,2_00_0
49069,6_00_0
11225,2_a5_2
45887,5_b6_1
21379,4_00_0
10677,3_00_0
44693,5_a7_2
53768,4_00_0
61055,5_00_0
11568,4_00_0
55394,6_00_0
63950,3_b8_1
19138,1_00_0
59138,3_00_0
43860,4_00_0
38306,3_a9_2
35778,4_00_0
16194,3_00_0
42060,6_a12_1
19598,6_00_0
19165,4_00_0
64323,6_00_0
49270,3_00_0
13861,4_00_0
11860,3_b7_1
32706,1_00_0
60529,3_a9_3
30042,3_00_0
21880,6_00_0
15710,2_a5_2
16290,3_b3_1
45067,2_a5_2
43549,1_00_0
26514,3_00_0
48501,6_00_0
56198,3_00_0
10199,3_b7_1
22220,4_00_0
24600,6_00_0
50221,3_00_0
28801,6_00_0
57243,4_00_0
65106,6_00_0
32022,3_00_0
36167,5_00_0
67002,4_00_0
16512,1_00_0
14529,4_00_0
52837,5_00_0
44375,3_00_0
63553,1_00_0
11198,3_a9_1
39870,3_b3_1
52357,3_a9_3
59171,1_00_0
33617,6_00_0
38148,4_00_0
13156,3_00_0
50601,5_b6_1
23472,4_00_0
63130,6_00_0
17835,5_00_0
35290,1_00_0
43914,5_b6_1
17608,6_a11_1
20714,4_00_0
48457,6_00_0
29788,3_00_0
27476,1_00_0
57228,5_b7_1
44738,3_00_0
22026,1_00_0
37944,3_00_0
61595,5_a7_2
36847,3_00_0
50072,3_00_0
20015,3_00_0
14957,1_00_0
23212,3_a9_3
16729,3_a9_3
50570,3_b8_1
44828,3_b3_1
49383,4_00_0
61984,5_b7_1
16606,3_b7_1
17251,3_00_0
